Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,174,0000001|0000000000000000010101010,4,6.79563,60.2715,1,189.851,3,14,10,10,0,10,10,0,0,0,6,5,2,4,1,4,0,0
3600,175,0000001|0000000000000000010101011,4,-294.61,-322.176,1,325.25,2,14,11,11,0,9,9,0,0,0,6,5,0,6,0,5,0,0
3600,176,0000001|0000000000000000010101100,4,21.4833,-146.107,1,271.233,2,14,17,17,0,15,15,0,1,0,8,7,0,8,0,7,0,0
3600,177,0000001|0000000000000000010101101,4,26.8462,303.591,1,59.9414,5,14,13,13,0,12,12,0,0,0,6,4,6,0,4,0,0,0
3600,178,0000001|0000000000000000010101110,4,139.149,149.637,1,171.568,5,14,12,12,0,9,9,0,1,0,5,3,5,0,3,0,0,0
3600,179,0000001|0000000000000000010101111,4,414.53,356.696,1,392.813,1,14,12,12,0,9,9,0,1,0,5,5,0,5,0,5,0,0
3600,180,0000001|0000000000000000010110000,4,105.329,-220.609,1,263.815,2,14,12,12,0,10,10,0,1,0,5,5,0,5,0,5,0,0
3600,181,0000001|0000000000000000010110001,4,27.562,140.117,1,113.288,5,14,11,11,0,10,10,0,1,0,3,1,3,0,1,0,0,0
3600,182,0000001|0000000000000000010110010,4,-499.162,401.107,1,472.196,0,14,9,9,0,7,7,0,1,0,1,1,0,1,0,1,0,0
3600,183,0000001|0000000000000000010110011,4,407.2,-172.467,1,233.36,2,14,12,12,0,7,7,0,1,0,4,4,0,4,0,4,0,0
3600,184,0000001|0000000000000000010110100,4,454.768,-190.26,1,279.516,3,14,12,12,0,10,10,0,2,0,7,6,4,3,3,3,0,0
